ShippingPostalCode,ActiveAccounts,TerminatedAccounts,LostRevenue,TotalHistorical,5YR Churn Rate,AvgLostRevenuePerAccount,ProposedBranch,ConsolidatedArea,Source
85387,2,13,24234.88,15,86.67,1864.22,Branch 7 - Southwest Valley/Laveen,West,Phoenix
85009,1,10,16682.0,11,90.91,1668.2,Branch 4 - Central PHX/South,Central,Phoenix
85017,1,3,5580.48,4,75.0,1860.16,Branch 4 - Central PHX/South,Central,Phoenix
85031,1,5,8492.0,6,83.33,1698.4,Branch 4 - Central PHX/South,Central,Phoenix
85033,1,18,29862.16,19,94.74,1659.01,Branch 4 - Central PHX/South,Central,Phoenix
85208,1,29,48152.4,30,96.67,1660.43,Branch 11 - Mesa East/Pinal Outliers,East,Phoenix
85256,1,1,1833.4,2,50.0,1833.4,Branch 2 - Central Scottsdale/PV,Central,Phoenix
85351,1,13,21207.4,14,92.86,1631.34,Branch 5 - Peoria/Surprise North,West,Phoenix
85375,1,16,26826.0,17,94.12,1676.62,Branch 5 - Peoria/Surprise North,West,Phoenix
85004,0,1,1708.0,1,100.0,1708.0,Branch 4 - Central PHX/South,Central,Phoenix
85236,0,1,1900.0,1,100.0,1900.0,,,Phoenix
85263,0,2,3200.0,2,100.0,1600.0,Branch 1 - North Scottsdale,Central,Phoenix
85307,0,13,22141.4,13,100.0,1703.18,,,Phoenix
85363,0,1,1980.0,1,100.0,1980.0,,,Phoenix
85377,0,7,12246.4,7,100.0,1749.49,Branch 1 - North Scottsdale,Central,Phoenix
85122,92,330,748753.51,422,78.2,2268.95,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85123,10,33,75412.7,43,76.74,2285.23,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85128,12,37,89487.44,49,75.51,2418.58,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85131,7,9,29317.28,16,56.25,3257.48,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85132,2,21,42781.68,23,91.3,2037.22,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85138,12,74,141693.82,86,86.05,1914.78,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85139,6,13,31347.5,19,68.42,2411.35,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85143,7,51,93546.62,58,87.93,1834.25,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85143-6121,0,1,1957.0,1,100.0,1957.0,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85193,4,6,16885.65,10,60.0,2814.28,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
85194,11,40,87845.02,51,78.43,2196.13,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",East,Tucson-Unassigned
