Consolidated_Area,Original_Branch,Source,ZIP_Code,Active_Accounts,Terminated_Accounts,Churn_Rate
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85119,2,16,88.89
East,Branch 11 - Mesa East/Pinal Outliers,Phoenix,85208,1,29,96.67
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85122,92,330,78.2
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85123,10,33,76.74
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85128,12,37,75.51
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85131,7,9,56.25
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85132,2,21,91.3
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85138,12,74,86.05
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85139,6,13,68.42
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85143,7,51,87.93
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85143-6121,0,1,100.0
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85193,4,6,60.0
East,"Tucson Peripheral (Casa Grande, Maricopa, etc.)",Tucson-Unassigned,85194,11,40,78.43
